row_id,question,gold_answer,gold_kg,llm_answer,llm_kg,context,context_kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Providing information on metered dose inhaler technique: is multimedia as effective as print?,"Short-term, multimedia is as least as effective as a good leaflet, and may have advantages for steps involving movement. MTS was acceptable to all age groups. The method could be used more widely in primary care.","[['Multimedia', 'is_as_effective_as', 'good_leaflet'], ['Multimedia', 'has_advantages_for', 'steps_involving_movement'], ['Multimedia', 'acceptable_to', 'all_age_groups'], ['Multimedia', 'can_be_used_more_widely', 'primary_care']]","Multimedia is more effective than print for improving co-ordination of inspiration and inhaler actuation, but not for global technique or breathing-in time.","[['Multimedia', 'is_more_effective_than', 'print']]","Metered dose inhalers (MDIs) are not easy to use well. Every MDI user receives a manufacturer's patient information leaflet (PIL). However, not everyone is able or willing to read written information. Multimedia offers an alternative method for teaching or reinforcing correct inhaler technique. The aim of this study was to compare the effects of brief exposure to the same key information, given by PIL and multimedia touchscreen computer (MTS). A single-blind randomized trial was conducted in 105 fluent English speakers (53% female; 93% White) aged 12-87 years in London general practices. All patients had had at least one repeat prescription for a bronchodilator MDI in the last 6 months. Inhaler technique was videotaped before and after viewing information from a PIL (n = 48) or MTS (n = 57). Key steps were rated blind using a checklist and videotape timings. The main outcome measures were a change in (i) global technique; (ii) co-ordination of inspiration and inhaler actuation; (iii) breathing-in time; and (iv) information acceptability. Initially, over a third of both groups had poor technique. After information, 44% (MTS) and 19% (PIL) were rated as improved. Co-ordination improved significantly after viewing information via MTS, but not after PIL. Breathing-in time increased significantly in both groups. Half the subjects said they had learned 'something new'. The MTS group were more likely to mention co-ordination and breathing.","[[""Manufacturer's_patient_information_leaflet"", 'provides_information_to', 'Metered_dose_inhalers'], ['Study', 'given_by', 'PIL'], ['Study', 'given_by', 'Multimedia_touchscreen_computer']]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Expression of PRPF31 mRNA in patients with autosomal dominant retinitis pigmentosa: a molecular clue for incomplete penetrance?,Partial penetrance in RP11 could be due to the coinheritance of a PRPF31 gene defect and a low-expressed wild-type allele. This study revealed a potential avenue for future therapy in that it appears the moderate overexpression of wild-type PRPF31 may prevent clinical manifestation of the disease.,"[['RP11', 'is_linked_to', 'autosomal_dominant_retinitis_pigmentosa'], ['RP11', 'located_on', 'chromosome_19q13.4'], ['PRPF31_gene_defect', 'causes', 'incomplete_penetrance_phenotype'], ['PRPF31_gene_defect', 'located_on', 'RP11'], ['low_expressed_wild_type_allele', 'coexists_with', 'PRPF31_gene_defect'], ['moderate_overexpression_of_wild_type_PRPF31', 'prevents', 'clinical_manifestation_of_disease']]","Yes, the incomplete penetrance phenotype characteristic of adRP families linked to chromosome 19q13.4 (RP11) with mutations in the PRPF31 gene is due to differentially expressed wild-type alleles in symptomatic and asymptomatic individuals. The expression of PRPF31 mRNA in patients with autosomal dominant retinitis pigmentosa is significantly different between symptomatic and asymptomatic individuals.","[['RP11', 'is_linked_to', 'autosomal_dominant_retinitis_pigmentosa'], ['RP11', 'located_on', 'chromosome_19q13.4'], ['PRPF31_gene_defect', 'causes', 'incomplete_penetrance_phenotype'], ['PRPF31_gene_defect', 'located_on', 'RP11'], ['differentially_expressed_wild_type_alleles', 'exist_in', 'symptomatic_and_asymptomatic_individuals'], ['PRPF31_mRNA_expression', 'is_significantly_different_between', 'symptomatic_and_asymptomatic_individuals']]",To investigate whether the incomplete penetrance phenotype characteristic of adRP families linked to chromosome 19q13.4 (RP11) with mutations in the PRPF31 gene is due to differentially expressed wild-type alleles in symptomatic and asymptomatic individuals. Real-time quantitative RT-PCR was performed on RNA from lymphoblastoid cell lines derived from a large adRP family (RP856/AD5) that segregates an 11bp deletion in exon 11 of PRPF31. The mRNA levels from only the wild-type allele of PRPF31 were assayed using a probe designed across the deletion. The Mann-Whitney U test was used to compare the median mRNA copy numbers of the symptomatic with the asymptomatic carriers of the mutant PRPF31 allele. The PRPF31 protein levels from symptomatic and asymptomatic individuals were also assayed by Western blot analysis using an antibody specific to the wild-type PRPF31 protein. The use of cell lines was validated by the observation that cell transformation did not alter PRPF31 expression in the cell lines compared with nucleated blood cells and donor retinas. A significant difference in wild-type PRPF31 mRNA levels was observed between symptomatic and asymptomatic individuals (P<0.001) and was supported by Western blot analysis of the PRPF31 protein.,"[['RP11', 'is_linked_to', 'autosomal_dominant_retinitis_pigmentosa'], ['RP11', 'located_on', 'chromosome_19q13.4'], ['PRPF31_gene_defect', 'causes', 'incomplete_penetrance_phenotype'], ['PRPF31_gene_defect', 'located_on', 'RP11'], ['real_time_quantitative_RT_PCR', 'was_performed_on', 'RNA_from_lymphoblastoid_cell_lines']]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Blunted cortisol responses to psychosocial stress in asthmatic children: a general feature of atopic disease?,These findings suggest that a blunted adrenocortical response to stress may represent a common feature of chronic allergic inflammatory processes that may be relevant in different forms of chronic manifestation of atopy.,"[['Atopy', 'defined_as', 'individual_predisposition'], ['Atopy', 'characterized_by', 'group_of_inflammatory_disorders'], ['Atopy', 'response_to', 'certain_food_or_environmental_substances'], ['Blunted adrenocortical response', 'feature_of', 'chronic_allergic_inflammatory_processes'], ['Blunted adrenocortical response', 'relevant_to', 'different_forms_of_chronic_manifestation_of_atopy']]","Yes, blunted cortisol responses to psychosocial stress are a characteristic feature of allergic asthma and represent a common symptom of atopy.","[['Blunted cortisol responses', 'characteristic_feature', 'allergic_asthma'], ['Blunted cortisol responses', 'symptom_of', 'atopy'], ['HPA_axis', 'stress_susceptibility', 'atopic_dermatitis']]","Atopy is defined by the individual predisposition to develop a group of inflammatory disorders in response to certain food or environmental substances that are otherwise innocuous for the host. In previous studies we could demonstrate a reduced responsiveness of the hypothalamus-pituitary-adrenal (HPA) axis to psychosocial stress in young and adult patients with atopic dermatitis (AD), a chronic atopic skin disorder. With respect to the important immunoregulatory role of the HPA axis, especially under stress, this observation could be of clinical relevance and may at least partly explain stress-induced exacerbation of AD. The present study was designed to investigate whether attenuated responsiveness of the HPA axis to stress represents a characteristic feature of AD or whether it can also be found in other chronic manifestations of atopy. Children (aged 7-12) with allergic asthma (AA; N = 17) and age- and sex-matched healthy controls (N = 18) were exposed to the ""Trier Social Stress Test for Children""(TSST-C), which mainly consists of a free speech and mental arithmetic tasks in front of an audience. Salivary cortisol was measured in ten-minute intervals before and after the TSST-C, while heart rate was monitored continuously. In addition, early morning cortisol levels (after awakening, +10, +20, +30 minutes) were assessed on three consecutive days. Data analysis yielded a significant increase of cortisol concentrations (F (9297)= 16.79; p<.001) and heart rates (F(32,992)= 9.16; p<.001) after the stressor with no between-group difference in heart rate responses. However, AA children showed a significantly blunted cortisol response to the TSST-C when compared with the control group (F(9297)= 2.95; p<.01). Awakening in the morning was accompanied by a significant rise of cortisol levels on all three experimental days in AA and control subjects (all p<.001) that was not different between the two groups.","[['Children', 'aged_between', '7-12'], ['Children', 'exposed_to', 'Trier_Social_Stress_Test_for_Children'], ['TSST-C', 'consists_of', 'free_speech_and_mental_arithmetic_tasks'], ['TSST-C', 'administered_to', 'children_with_allergic_asthma'], ['TSST-C', 'administered_to', 'age_and_sex_matched_healthy_controls']]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Does depression influence symptom severity in irritable bowel syndrome?,"The unusual co-occurrence of IBS with bipolar disorder provides direct evidence to indicate that depression does not necessarily lead to an increase in the reported severity of IBS, at least in the context of bipolar disorder, and may under certain circumstances actually be associated with a reduction in the severity of IBS symptoms. Factors that might moderate the relationship between depression and symptom severity are discussed.","[['IBS', 'associated_with', 'mood_disorder'], ['depression', 'associated_with', 'mood_disorder'], ['IBS', 'symptom_severity', 'severity_level_1'], ['depression', 'symptom_severity', 'severity_level_1'], ['severity_level_1', 'not_necessarily_correlated_with', 'increased_IBS_severity'], ['severity_level_1', 'potentially_correlated_with', 'reduced_IBS_severity']]",No significant association was found between depression and symptom severity in irritable bowel syndrome in this case study.,"[['no_significant_association', 'found', 'between']]","Irritable bowel syndrome (IBS) is frequently associated with mood disorder. However, it is typically difficult to distinguish between disturbed mood as a causal agent and disturbed mood as a consequence of the experience of IBS. This report considers the association between mood and symptom severity in a patient with diarrhea-predominant IBS and stable, rapid cycling bipolar disorder with a predominantly depressive course. Such a case provides an important opportunity to determine the direction of the relationship between mood and IBS symptom severity because the fluctuations of mood in bipolar disorder are assumed to be driven largely by biological, rather than psychosocial, processes. The study was carried out prospectively, with ratings of mood and IBS symptom severity made daily by the patient for a period of almost 12 months. The patient experienced regular and substantial changes in mood as well as fluctuations in the level of IBS symptoms during the study period. Contrary to expectation, the correlation between mood and IBS symptom severity on the same day suggested that the patient experienced less severe IBS symptoms during periods of more severe depression. However, time series analysis revealed no significant association between these two processes when serial dependence within each series was controlled for.","[['IBS', 'associated_with', 'mood_disorder'], ['bipolar_disorder', 'has_subtype', 'rapid_cycling'], ['bipolar_disorder', 'has_subtype', 'depressive_course'], ['patient', 'experienced', 'regular_and_substantial_changes_in_mood'], ['patient', 'experienced_fluctuations_in', 'IBS_symptoms'], ['mood', 'fluctuations_driven_by', 'biological_processes'], ['patient', 'made_daily_ratings_of', 'mood'], ['patient', 'made_daily_ratings_of', 'IBS_symptom_severity'], ['same_day_correlation', 'suggested', 'less_severe_IBS_symptoms_during_more_severe_depression'], ['time_series_analysis', 'revealed', 'no_significant_association_between_mood_and_IBS_symptom_severity']]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Do peritoneal macrophages play an essential role in the progression of acute pancreatitis in rats?,Peritoneal macrophages extend inflammation from the pancreas to the peritoneal cavity and subsequently induce lung injury in acute pancreatitis. Peritoneal macrophages play an essential role in the systemic inflammatory response and the progression of acute pancreatitis in the rat.,"[['Peritoneal macrophages', 'play_role_in', 'inflammation'], ['inflammation', 'induces', 'lung_injury'], ['Peritoneal macrophages', 'located_in', 'peritoneal_cavity'], ['Peritoneal macrophages', 'plays_role_in', 'systemic_inflammatory_response'], ['Peritoneal macrophages', 'plays_role_in', 'progression_of_acute_pancreatitis']]","Yes, peritoneal macrophages play an essential role in the progression of acute pancreatitis in rats. The depletion of peritoneal macrophages significantly improved intraperitoneal inflammation, serum cytokine level and lung injury in rats with acute pancreatitis.","[['Peritoneal macrophages', 'depletion', 'improves'], ['Peritoneal macrophages', 'depletion', 'improves'], ['Peritoneal macrophages', 'depletion', 'improves'], ['Peritoneal macrophages', 'located_in', 'peritoneal_cavity'], ['Peritoneal macrophages', 'plays_role_in', 'systemic_inflammatory_response'], ['Peritoneal macrophages', 'plays_role_in', 'progression_of_acute_pancreatitis']]","Macrophages are considered to play an essential role in the events leading to systemic inflammatory response. Some are known to reside in the peritoneal cavity but there are no reports defining the participation of peritoneal macrophages (PMs) in the progression of acute pancreatitis.AIM: To clarify the role of PMs in the progression of acute pancreatitis. Acute pancreatitis was induced in rats from which macrophages other than PMs were greatly depleted, and in rats greatly depleted of macrophages including PMs. Macrophages were depleted by the injection of liposome encapsulated dichloromethylene bisphosphonate. After the induction of acute pancreatitis, local pancreatic inflammation, intraperitoneal inflammation and lung injury were compared between the 2 groups. Local pancreatic inflammation did not differ between the 2 groups. However, intraperitoneal inflammation was clearly improved by the depletion of PMs. Serum cytokine level and lung injury were also improved by the depletion of PMs.","[['Macrophages', 'considered_to_play_role_in', 'systemic_inflammatory_response'], ['Macrophages', 'some_reside_in', 'peritoneal_cavity'], ['Macrophages', 'depleted_by', 'liposome_encapsulated_dichloromethylene_bisphosphonate'], ['Depletion_of_macrophages', 'results_in', 'improved_intraperitoneal_inflammation'], ['Depletion_of_macrophages', 'results_in', 'improved_serum_cytokine_level'], ['Depletion_of_macrophages', 'results_in', 'improved_lung_injury']]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Long-term survival following Kasai portoenterostomy: is chronic liver disease inevitable?,A sizable proportion of children with EHBA avoid significant chronic liver disease and its complications 10 years or more after conventional surgical correction and have an excellent quality of life. Their good outcome is not hampered by isolated episodes of ascending cholangitis. Whether or not the residual histologic damage will become symptomatic during their lifetime remains to be established.,"[['Children with EHBA', 'have excellent quality of life', '10 years or more'], ['Children with EHBA', 'avoid significant chronic liver disease', '10 years or more']]","No, chronic liver disease is not inevitable following Kasai portoenterostomy. Although most children with untreated EHBA develop chronic liver disease, a significant number of patients have normal laboratory indices and no clinical evidence of chronic liver disease 10 or more years after surgery.","[['Children with EHBA', 'do not develop chronic liver disease', '10 or more years']]","Extrahepatic biliary atresia (EHBA) is the most common indication for liver transplantation in childhood. Most children who do not undergo transplant are reported to have chronic liver disease and its complications. The aim of this single-center study was to identify children with normal laboratory indices and no clinical evidence of chronic liver disease 10 or more years after Kasai portoenterostomy (KP). A retrospective analysis of the medical notes of all children surgically treated at the authors' center between 1979 and 1991 was undertaken. Criteria for inclusion were absence of surgical complications, unremarkable clinical examination, and normal bilirubin, aspartate aminotransferase, albumin, international normalized prothrombin ratio, and platelet count. Of 244 children surgically treated during the observation period, the authors identified 28 (11%) adolescents (14 male) who fulfilled the entry criteria. Their median age was 13.4 years (range, 10.2-22.2 years). Twenty-six with type 3 EHBA had conventional KP, whereas 2 underwent modified operations. The corrective surgery was performed at a median age of 58 days (range, 20-99 days). Median time of complete clearance of jaundice from the date of KP was 75 days (range, 21-339 days). Twelve (43%) patients had history of cholangitis at a median age of 3.4 years. The liver histologic findings were suggestive of mild to moderate fibrosis in 54.2% and cirrhosis in 40.7% of the patients who underwent biopsy. No child had gastrointestinal bleeding during follow-up. Thirteen (46%) patients had an elective esophagogastroduodenoscopy, which was normal in all. Twenty-six (93%) patients were in mainstream education, whereas the remaining two (7%) attended special school because of reasons unrelated to liver disease.",[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Shortage of donation despite an adequate number of donors: a professional attitude?,"In The Netherlands, when taking into account current refusal percentages, 320 to 360 organ donations and 5,800 tissue donations could be effectuated if organ donation is posed to all possible donors. For this, knowledge of medical criteria and contraindications for donation by the physicians and their willingness to discuss donation with next of kin must be improved.","[['The Netherlands', 'has_potential_for', '320_to_360 organ donations'], ['320_to_360 organ donations', 'could_be_effectuated_if', 'organ_donation_is_posed_to_all_possible_donors'], ['improvement_needed', 'in', ""['medical_criteria_and_contraindications', 'knowledge_of_physicians']""], ['improvement_needed', 'in', 'willingness_of_physicians_to_discuss_donation_with_next_of_kin']]","The shortage of donor organs and tissues in The Netherlands is not necessarily due to an inadequate number of donors, but rather to a lack of awareness and professionalism in discussing donation with next of kin.","[['The Netherlands', 'experiences', 'shortage_of_donor_organs_and_tissues'], ['shortage_of_donor_organs_and_tissues', 'not_necessarily_due_to', 'inadequate_number_of_donors'], ['shortage_of_donor_organs_and_tissues', 'due_to', 'lack_of_awareness_and_professionalism_in_discussing_donation_with_next_of_kin']]","A major problem in the field of transplantation is the persistent shortage of donor organs and tissues for transplantation. This study was initiated to (1) chart the donor potential for organs and tissue in The Netherlands and (2) to identify factors influencing whether donation is discussed with next of kin. A registration form was constructed to obtain information at time of death of patients about the demographic characteristics, diagnosis, and medical suitability for donation. A prospective study was conducted among 11 hospitals in The Netherlands that gathered 4,877 filled-in forms equaling 8% to 10% of the people dying in a hospital in The Netherlands per year. In the year of the study, organs were retrieved from 22 donors and tissues from 264 donors in the 11 hospitals. The organ potential is estimated at a maximum of 38.7 per million population per year. A mere 5% of the physicians got a 100% score on criteria and contraindications for donation. Factors of influence on receiving consent for donation were the will of the donor, using a protocol, giving verbal information to the relatives, and presence of the partner of the deceased patient. For 26% of the potential tissue donors and 69% of the potential organ donors, donation was discussed with the relatives. Consent for tissue donation was obtained in 27%, and consent for organ donation was obtained in 60%.","[['Study', 'initiated_to', ""['chart_donor_potential_for_organs_and_tissue_in_The_Netherlands', 'identify_factors_influencing_donation_discussion_with_next_of_kin']""], ['registration_form', 'constructed_for', 'obtaining_information_at_time_of_death'], ['hospitals', 'participated_in_study', '11'], ['filled_in_forms', 'collected', '4877'], ['population_per_year', 'dying_in_hospitals_in_The_Netherlands', '4877'], ['organs_retrieved', 'from', '22 donors'], ['tissues_retrieved', 'from', '264 donors'], ['organ_potential', 'estimated_at_a_maximum', '38.7 per million population per year'], ['physicians', 'scored_on_criteria_and_contraindications_for_donation', '5%'], ['factors_of_influence_on_consent', 'for_donation', ""['will_of_donor', 'protocol', 'verbal_information_to_relatives', 'presence_of_partner']""], ['potential_tissue_donors', 'discussed_donation_with_relatives', '26%'], ['consent_for_tissue_donation_obtained', 'percentage', '27%'], ['potential_organ_donors', 'discussed_donation_with_relatives', '69%'], ['consent_for_organ_donation_obtained', 'percentage', '60%']]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Is posttransplant lymphoproliferative disorder (PTLD) caused by any specific immunosuppressive drug or by the transplantation per se?,"We found no evidence to implicate any one drug regime preferentially in the development of PTLDs. The risk of developing PTLD seems to be a result of the whole transplantation process, which includes the antigenicity of the foreign graft, the immunosuppression resulting in inadequate cytotoxic T-cell activity, and the result of EBV infection. An important minority of cases are EBV negative.","[['PTLD', 'associated_with', 'transplantation_process'], ['transplantation_process', 'composed_of', 'antigenicity_of_foreign_graft'], ['transplantation_process', 'composed_of', 'immunosuppression'], ['transplantation_process', 'composed_of', 'EBV_infection']]","The data suggest that PTLD is not caused by any specific immunosuppressive drug or by the transplantation per se, but rather by the presence of Epstein-Barr virus (EBV) infection.","[['PTLD', 'caused_by', 'EBV_infection'], ['EBV_infection', 'result_of', 'immunosuppression'], ['EBV_infection', 'result_of', 'antigenicity_of_foreign_graft']]","An association between posttransplant lymphoproliferative disorder (PTLD) and cyclosporine A (CsA) and OKT3 has often been postulated on the basis of retrospective studies, although a randomized study with PTLD as the endpoint will probably never be performed. Because focus on PTLD coincided with the use of these drugs, a bias could be suspected. In a retrospective, nonrandomized study, we reevaluated all lymphoma-like lesions arising in kidney-transplant patients grafted at our center during 1969 to 1998 and observed up to 2002. Case pathology was reviewed, and an association with Epstein-Barr virus (EBV) infection (and latency pattern) was assessed. We did not find any significant difference in the incidence of PTLDs when comparing the prednisolone/azathioprine, and CsA eras (P=0.89), the periods before or after OKT3 (P=0.61), and those before or after antilymphocyte globulin (ALG) (P=0.22). Occurrence time was shorter in the CsA (P=0.059), OKT3 (P=0.007), and ALG (P=0.007) eras. In the OKT3 era, 182 patients received, and 224 did not receive, OKT3; after the same observation time, there had been eight and five PTLDs, respectively (P=0.34). The use of mycophenolate mofetil (MMF) was associated with a reduction in the number of PTLDs (P=0.01). EBV was detected in 16 of 21 (76%) cases.","[['PTLD', 'associated_with', 'cyclosporine_A'], ['PTLD', 'associated_with', 'OKT3'], ['cyclosporine_A', 'era', 'CsA_era'], ['OKT3', 'era', 'OKT3_era'], ['ALG', 'era', 'ALG_era'], ['prednisolone_azathioprine_era', 'era', 'prednisolone_azathioprine_era'], ['PTLD', 'occurrence_time_shorter_in', 'CsA_era'], ['PTLD', 'occurrence_time_shorter_in', 'OKT3_era'], ['PTLD', 'occurrence_time_shorter_in', 'ALG_era'], ['PTLD', 'number_reduced_by', 'mycophenolate_mofetil'], ['EBV', 'detected_in', 'majority_of_PTLD_cases'], ['EBV', 'latency_pattern', 'present_in_PTLD_cases']]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Is there an inhibitory role of cortisol in the mechanism of male sexual arousal and penile erection?,Our results strongly suggest an inhibitory role for cortisol in the mechanism of male sexual response and behaviour. These properties are mediated rather via an effect on central structures than on the penile erectile tissue. Future studies to include patients suffering from erectile dysfunction may reveal whether or not there are differences in the cortisol serum profiles of healthy subjects and patients under different stages of sexual arousal.,"[['Cortisol', 'has_role', 'inhibitor'], ['Cortisol', 'affects', 'male_sexual_response'], ['Cortisol', 'affects', 'central_structures'], ['Cortisol', 'affects', 'penile_erectile_tissue'], ['Future_studies', 'investigate', 'cortisol_profiles'], ['Patients_with_erectile_dysfunction', 'may_reveal', 'differences_in_cortisol_profiles']]","Yes, cortisol has an inhibitory role in the mechanism of male sexual arousal and penile erection. Cortisol serum levels significantly decreased in the systemic circulation and the cavernous blood with increasing sexual arousal, and remained unaltered during detumescence in the systemic circulation, whereas in the cavernous compartment, it was found to decrease further.","[['Cortisol', 'has_role', 'inhibitor'], ['Cortisol', 'affects', 'male_sexual_arousal'], ['Cortisol', 'affects', 'penile_erection'], ['Cortisol_serum_levels', 'decrease', 'during_sexual_arousal'], ['Cortisol_serum_levels', 'remain_unchanged', 'during_detumescence_systemic'], ['Cortisol_serum_levels', 'decrease_further', 'during_detumescence_cavernous'], ['No_significant_differences', 'registered', 'between_cortisol_levels_systemic_and_cavernous']]","It has been speculated for more than 2 decades whether there is a significance of adrenal corticosteroids, such as cortisol, in the process of normal male sexual function, especially in the control of sexual arousal and the penile erectile tissue. However, only few in vivo studies have been carried out up until now on the effects of cortisol on human male sexual performance and penile erection. In order to evaluate further the role of cortisol in male sexual activity, the present study was conducted to detect serum levels of cortisol in the systemic and cavernous blood taken during different penile conditions from healthy males. The effects of cortisol derivative prednisolone, catecholamine norepinephrine (NE) and the peptide endothelin-1 (ET-1) on isolated human corpus cavernosum (HCC) were investigated using the organ bath technique. Fifty-four healthy adult male subjects were exposed to erotic stimuli in order to elicit penile tumescence and rigidity. Whole blood was simultaneously aspirated from the corpus cavernosum and the cubital vein during different penile conditions. Serum levels of cortisol (microg/dl) were determined by means of a radioimmunoassay (ELISA). In the healthy volunteers, cortisol serum levels significantly decreased in the systemic circulation and the cavernous blood with increasing sexual arousal, when the flaccid penis became rigid. During detumescence, the mean cortisol level remained unaltered in the systemic circulation, whereas in the cavernous compartment, it was found to decrease further. Under all penile conditions, no significant differences were registered between cortisol levels in the systemic circulation and in the cavernous blood. Cumulative addition of NE and ET-1 (0.001-10 microM) induced contraction of isolated HCC strips, whereas the contractile response to prednisolone was negligible.","[['Cortisol', 'has_role', 'inhibitor'], ['Cortisol', 'affects', 'male_sexual_function'], ['Cortisol', 'affects', 'control_of_sexual_arousal'], ['Cortisol', 'affects', 'penile_erectile_tissue'], ['Present_study', 'conducted', 'to_detect_cortisol_effects'], ['Healthy_males', 'exposed_to', 'erotic_stimuli'], ['Whole_blood', 'aspirated_from', 'corpus_cavernosum_and_cubital_vein'], ['Cortisol_serum_levels', 'decrease', 'during_penile_arousal'], ['Cortisol_serum_levels', 'remain_unchanged', 'during_detumescence_systemic'], ['Cortisol_serum_levels', 'decrease_further', 'during_detumescence_cavernous'], ['No_significant_differences', 'registered', 'between_cortisol_levels_systemic_and_cavernous'], ['NE_and_ET-1', 'induce_contraction', 'isolated_HCC_strips']]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Nasal and hand carriage of Staphylococcus aureus in staff at a Department for Thoracic and Cardiovascular Surgery: endogenous or exogenous source?,"Half of the HCWs acquired S. aureus on the hands from patients or the environment and half did so by apparent self-inoculation from the nose. Regardless of the source of contamination, good compliance with hand hygiene is needed from all HCWs to protect patients from nosocomial infections. The moderate rate of S. aureus carriage on hands in this setting could be the result of the routine use of alcoholic hand antisepsis.","[['HCWs', 'acquired', 'S. aureus'], ['S. aureus', 'carried_on', 'hands'], ['S. aureus', 'carried_on', 'noses'], ['good_compliance_with_hand_hygiene', 'needed_from', 'all_HCWs'], ['moderate_rate_of_S.aureus_carriage_on_hands', 'resulted_from', 'routine_use_of_alcoholic_hand_antisepsis']]","The study found that S. aureus carriage rates were higher in the noses and on the hands of HCWs than in the general population. The risk ratio for S. aureus carriage on the hands with nasal carriage was 7.4, indicating a strong association between nasal and hand carriage. Strain likeness to the nasal isolate was documented for 7 (50%) of the 14 HCWs carrying S. aureus on their hands, suggesting that a significant portion of S. aureus carriage on the hands of HCWs is due to endogenous sources.","[['HCWs', 'had_higher_S.aureus_carriage_rates', 'than_general_population'], ['risk_ratio_for_S.aureus_carriage_on_hands_with_nasal_carriage', 'was', '7.4']]","To investigate the rates of Staphylococcus aureus carriage on the hands and in the noses of healthcare workers (HCWs) and the relatedness of S. aureus isolates found in the two sites. Point-prevalence study. Department for Thoracic and Cardiovascular Surgery at the University Hospital of Uppsala, Uppsala, Sweden. Samples were obtained from 133 individuals, 18 men and 115 women, using imprints of each hand on blood agar and a swab from the nose. S. aureus isolates were identified by standard methods and typed by pulsed-field gel electrophoresis. S. aureus was found on the hands of 16.7% of the men and 9.6% of the women, and in the noses of 33.3% of the men and 17.4% of the women. The risk ratio for S. aureus carriage on the hands with nasal carriage was 7.4 (95% confidence interval, 2.7 to 20.2; P<.001). Among the 14 HCWs carrying S. aureus on their hands, strain likeness to the nasal isolate was documented for 7 (50%).","[['Study', 'investigated', 'rates_of_S.aureus_carriage'], ['Study', 'conducted_at', 'Department_for_Thoracic_and_Cardiovascular_Surgery'], ['S.aureus', 'found_on_hands_of', '16.7_%_men_and_9.6_%_women'], ['S.aureus', 'found_in_noses_of', '33.3_%_men_and_17.4_%_women'], ['risk_ratio_for_S.aureus_carriage_on_hands_with_nasal_carriage', 'was', '7.4'], ['among_14_HCWs_carrying_S.aureus_on_their_hands', 'strain_likeness_to_nasal_isolate_was_documented_for', '7']]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Does impaired left ventricular relaxation affect P wave dispersion in patients with hypertension?,This study suggests that impaired LV relaxation contributes to the heterogeneous atrial conduction in hypertensive patients.,"[['study', 'suggests', 'impaired LV relaxation contributes to heterogeneous atrial conduction in hypertensive patients'], ['impaired LV relaxation', 'affects', 'P wave dispersion'], ['P wave dispersion', 'reflected_in', 'heterogeneous conduction in atria'], ['hypertensive patients', 'divided_into', 'two groups'], ['group A', 'characterized_by', 'impaired LV relaxation'], ['group B', 'characterized_by', 'normal LV relaxation'], ['group A', 'had_higher', 'PD'], ['PD', 'defined_as', 'difference_between_max_and_min_P_wave_duration']]","Yes, impaired left ventricular relaxation affects P wave dispersion in patients with hypertension.","[['impaired LV relaxation', 'affects', 'P wave dispersion'], ['P wave dispersion', 'reflected_in', 'heterogeneous conduction in atria'], ['hypertensive patients', 'had_impaired_LV_relaxation', 'affected_P_wave_dispersion'], ['LV relaxation', 'measured_by', 'echocardiography'], ['mitral inflow velocities', 'obtained_by', 'echocardiography']]","P wave dispersion (PD) is considered to reflect the heterogeneous conduction in atria. We investigated whether there was a correlation between the left ventricular (LV) relaxation and PD. Fifty-three hypertensive patients<or =60 years old were divided into two groups: Group A, 27 patients, aged 54+/-5 years with the impaired LV relaxation and Group B, 26 patients, aged 51+/-8 years with normal LV relaxation. The P wave durations were measured in all 12 leads of ECG and PD was defined as the difference between maximum and minimum P wave duration (Pmax-Pmin). Mitral inflow velocities (E and A), E deceleration time (DT), isovolumic relaxation time (IVRT), left atrial and ventricular diameters, and wall thickness of LV were obtained by echocardiography. Clinical characteristics of both groups were comparable. The wall thickness of LV, Pmax, and left atrial dimension were not different in both groups. A velocity was higher (P<0.001), but E velocity (P=0.03) and E/A ratio (P<0.001) were lower in group A than in group B. IVRT and DT were also significantly longer in group A. PD was significantly higher in group A compared to group B (51+/-9 vs 41+/-11 ms, P=0.01). This difference resulted from the Pmin (61+/-10 vs 67+/-9 ms, P=0.03, respectively). Multivariate analysis revealed a significant correlation between PD and A velocity (r=0.46, P=0.01), E/A ratio (r=-0.53, P=0.001), DT (r=0.65, P<0.001), and IVRT (r=0.73, P<0.001).","[['study', 'investigated', 'correlation_between_LV_relaxation_and_PD']]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
