question,Graph1,Graph2
How does physical therapy and exercise help with rheumatoid arthritis?,"[['Physical Therapy & Exercise', 'helps', 'Individuals with Rheumatoid Arthritis'], ['Physical Therapy & Exercise', 'improves', 'movement'], ['Physical Therapy & Exercise', 'reduces', 'pain'], ['Moist Heat', 'eases', 'RA Symptoms'], ['Ice Packs', 'eases', 'RA Symptoms'], ['Relaxation Techniques', 'eases', 'RA Symptoms'], ['Occupational Therapy', 'helps Individuals with RA learn', 'Everyday Activities']]","[['Physical Therapy & Exercise', 'is crucial for managing', 'Rheumatoid Arthritis (RA)'], ['Physical Therapy & Exercise', 'improves', 'Range of Motion'], ['Physical Therapy & Exercise', 'reduces', 'pain'], ['Physical Therapy & Exercise', 'increases', 'Overall Strength'], ['Physical Therapy & Exercise', 'increases', 'Flexibility'], ['Physical Therapy & Exercise', 'can be implemented', 'at home'], ['Physical Therapy & Exercise', 'can be implemented with guidance of', 'healthcare professional'], ['Regular Exercise', 'aids in', 'Weight Management'], ['Weight Management', 'reduces strain on', 'affected joints'], ['Consistent Exercise Routine', 'combined with', 'Medication'], ['Combination of Exercise & Medication', 'improves', 'RA Symptoms'], ['Combination of Exercise & Medication', 'improves', 'overall quality of life'], ['Combination of Exercise & Medication', 'benefits', 'Individuals with RA']]"
I feel bad about not sticking to healthy habits. What can I do about it?,"[['Anchors', 'help remember', 'healthy habits'], ['Anchors', 'help achieve', 'right mindset'], ['Right mindset', 'supports', 'doing healthy habits'], ['Anchors', 'remind of', 'goals'], ['Picture of ideal weight', 'is an example of', 'Anchor'], ['Quote about healthy living', 'is an example of', 'Anchor'], ['Seeing an anchor', 'boosts', 'motivation'], ['Seeing an anchor', 'helps', 'stay on track']]","[['Implementing cues', 'helps remember', 'healthy habits'], ['Implementing cues', 'helps motivate for', 'healthy habits'], ['Cues', 'include', 'Triggers'], ['Cues', 'include', 'Anchors'], ['Triggers', 'can be', 'note'], ['Triggers', 'can be', 'text message'], ['Triggers', 'can be', 'alarm'], ['Anchors', 'can be', 'personal items'], ['Anchors', 'can be', 'sensory experiences'], ['Anchors', 'evoke', 'positive emotions'], ['Anchors', 'evoke', 'feelings associated with goals'], ['Experimenting with cues', 'increases', 'habit adoption'], ['Experimenting with cues', 'increases', 'habit maintenance']]"
What are symptoms of too high or low blood sugar levels?,"[['High Blood Sugar', 'causes', 'Foggy-headed Feeling'], ['High Blood Sugar', 'causes', 'Difficulty Concentrating/Focusing'], ['High Blood Sugar', 'causes', 'Fatigue/Energy Loss'], ['High Blood Sugar', 'causes', 'Nervousness'], ['High Blood Sugar', 'causes', 'Moodiness/Mood Swings'], ['Low Blood Sugar', 'causes', 'Shakiness'], ['Low Blood Sugar', 'causes', 'Sweating'], ['Low Blood Sugar', 'causes', 'Confusion'], ['Low Blood Sugar', 'causes', 'Fainting'], ['High Blood Sugar', 'increases risk of', 'Heart Disease'], ['High Blood Sugar', 'increases risk of', 'Stroke'], ['High Blood Sugar', 'increases risk of', 'Kidney Disease'], ['High Blood Sugar', 'increases risk of', 'Other Health Problems']]","[['High Blood Sugar', 'causes', 'Foggy-headed Feeling'], ['High Blood Sugar', 'causes', 'Fatigue/Energy Loss'], ['High Blood Sugar', 'causes', 'Nervousness'], ['High Blood Sugar', 'causes', 'Moodiness/Mood Swings'], ['Low Blood Sugar', 'causes', 'Dizziness'], ['Low Blood Sugar', 'causes', 'Confusion'], ['Low Blood Sugar', 'causes', 'Fainting'], ['High Blood Sugar', 'increases risk of', 'Heart Disease'], ['High Blood Sugar', 'increases risk of', 'Stroke'], ['High Blood Sugar', 'increases risk of', 'Kidney Disease'], ['Blood Sugar Management', 'avoids', 'Health Problems'], ['American Diabetes Association (ADA)', 'recommends', 'Blood Sugar Level Checking'], ['Blood Sugar Level Checking', 'timing', 'Before Meals'], ['Blood Sugar Level Checking', 'timing', '1-2 Hours After Meals'], ['American Diabetes Association (ADA)', 'recommends', 'Noting Potential Influences on Blood Sugar'], ['American Diabetes Association (ADA)', 'recommends', 'Documenting Exact Food Intake'], ['Healthy Eating Habits', 'helps manage', 'Blood Sugar Levels'], ['Healthy Eating Habits', 'includes', 'Eating Protein-Rich Breakfast'], ['Healthy Eating Habits', 'includes', 'Limiting Sweets'], ['Healthy Eating Habits', 'includes', 'Limiting Processed Foods'], ['Healthy Eating Habits', 'includes', 'Incorporating Healthy Fats'], ['Regular Exercise', 'aids in', 'Blood Sugar Management'], ['Regular Exercise', 'timing', 'After Meals'], ['Consultation', 'with', 'Doctor/Healthcare Professional']]"
How does diet help ease psoriatic arthritis pain?,"[['Healthy Diet', 'helps ease', 'Psoriatic Arthritis Pain'], ['Healthy Diet', 'involves avoiding', 'Potatoes'], ['Healthy Diet', 'involves avoiding', 'Tomatoes'], ['Healthy Diet', 'involves avoiding', 'Peppers'], ['Healthy Diet', 'involves avoiding', 'Refined Sugar'], ['Healthy Diet', 'involves avoiding', 'Processed Foods'], ['Healthy Diet', 'involves eating', 'Lean Meats'], ['Healthy Diet', 'involves eating', 'Poultry'], ['Healthy Diet', 'involves eating', 'Fish'], ['Healthy Diet', 'involves eating', 'Beans'], ['Healthy Diet', 'involves eating', 'Nuts'], ['Healthy Diet', 'involves limiting', 'Alcohol Consumption'], ['Healthy Diet', 'involves avoiding', 'High-Fat Dairy Products'], ['Healthy Diet', 'involves monitoring', 'Cholesterol'], ['Healthy Diet', 'involves monitoring', 'Salt Intake']]","[['Healthy Diet', 'helps manage', 'Psoriatic Arthritis Pain'], ['Healthy Diet', 'helps manage', 'Psoriatic Arthritis Discomfort'], ['Healthy Diet', 'includes eating', 'Fruit'], ['Healthy Diet', 'includes eating', 'Vegetables'], ['Healthy Diet', 'includes eating', 'Whole Grains'], ['Healthy Diet', 'includes avoiding', 'Processed Foods'], ['Healthy Diet', 'includes avoiding', 'Refined Sugar'], ['Healthy Diet', 'includes avoiding', 'Foods High in Fats'], ['Lean Meats', 'are', 'Recommended Protein Sources'], ['Poultry', 'are', 'Recommended Protein Sources'], ['Fish', 'are', 'Recommended Protein Sources'], ['Beans', 'are', 'Recommended Protein Sources'], ['Nuts', 'are', 'Recommended Protein Sources'], ['Healthy Diet', 'involves limiting', 'Alcohol Consumption'], ['Healthy Diet', 'involves monitoring', 'Cholesterol'], ['Healthy Diet', 'involves monitoring', 'Salt Intake'], ['Healthy Diet', 'improves', 'Overall Health'], ['Healthy Diet', 'keeps', 'Joints flexible'], ['Healthy Diet', 'reduces risk of', 'Joint Stiffness'], ['Healthy Diet', 'reduces risk of', 'Muscle Weakness'], ['Regular Exercise', 'helps alleviate', 'Psoriatic Arthritis Symptoms'], ['Regular Exercise', 'example', 'Riding an Exercise Bike'], ['Regular Exercise', 'example', 'Walking'], ['Turmeric', 'is a type of', 'Herb'], ['Turmeric', 'may provide', 'Psoriatic Arthritis Relief'], ['Use of Turmeric', 'should be discussed with', 'Doctor'], ['Turmeric', 'has potential interactions with', 'Medications'], ['Simple Massage Therapy', 'aids in', 'Pain Management'], ['Simple Massage Therapy', 'aids in', 'Stress Reduction'], ['Acupressure', 'aids in', 'Pain Management'], ['Acupressure', 'aids in', 'Stress Reduction']]"
Where can acute myeloid leukemia (AML) spread to?,"[['Acute Myeloid Leukemia (AML)', 'can spread to', 'blood'], ['Acute Myeloid Leukemia (AML)', 'can spread to', 'lymph nodes'], ['Acute Myeloid Leukemia (AML)', 'can spread to', 'liver'], ['Acute Myeloid Leukemia (AML)', 'can spread to', 'spleen'], ['Acute Myeloid Leukemia (AML)', 'can spread to', 'brain and spinal cord'], ['Acute Myeloid Leukemia (AML)', 'can spread to', 'testicles']]","[['Acute Myeloid Leukemia (AML)', 'can spread quickly from', 'bone marrow'], ['Acute Myeloid Leukemia (AML)', 'can spread quickly to', 'lymph nodes'], ['Acute Myeloid Leukemia (AML)', 'can spread quickly to', 'liver'], ['Acute Myeloid Leukemia (AML)', 'can spread quickly to', 'spleen'], ['Acute Myeloid Leukemia (AML)', 'can spread quickly to', 'brain and spinal cord'], ['Acute Myeloid Leukemia (AML)', 'can spread quickly to', 'testicles'], ['Acute Myeloid Leukemia (AML)', 'can be', 'life-threatening'], ['life-threatening', 'without', 'proper treatment'], ['smoking', 'is a risk factor for', 'Acute Myeloid Leukemia (AML)'], ['exposure to certain chemicals', 'is a risk factor for', 'Acute Myeloid Leukemia (AML)'], ['certain chemicals', 'include', 'benzene'], ['certain chemicals', 'include', 'pesticides'], ['certain chemicals', 'include', 'ionizing radiation'], ['certain blood disorders', 'is a risk factor for', 'Acute Myeloid Leukemia (AML)'], ['family history of AML', 'is a risk factor for', 'Acute Myeloid Leukemia (AML)'], ['avoiding smoking', 'can lower risk of', 'Acute Myeloid Leukemia (AML)'], ['minimizing exposure to chemicals', 'can lower risk of', 'Acute Myeloid Leukemia (AML)']]"
How can taking it easy help with sexual performance anxiety?,"[['avoiding sexual performance anxiety', 'requires', 'not being hard on oneself'], ['not being hard on oneself', 'applies to', 'appearance'], ['not being hard on oneself', 'applies to', 'ability in bed'], ['avoiding sexual performance anxiety', 'requires', 'seeking professional help']]","[['taking it easy on oneself', 'is an effective way to combat', 'sexual performance anxiety'], ['taking it easy on oneself', 'reduces', 'pressure to perform'], ['reducing pressure to perform', 'helps reduce', 'worries'], ['reducing pressure to perform', 'helps reduce', 'stress'], ['worries', 'interfere with', 'arousal'], ['stress', 'interfere with', 'arousal'], ['worries', 'interfere with', 'enjoyment of sex'], ['stress', 'interfere with', 'enjoyment of sex'], ['taking it easy on oneself', 'includes', 'being gentle with body image'], ['taking it easy on oneself', 'includes', 'taking time to relax and unwind'], ['taking it easy on oneself', 'includes', 'focusing on other forms of intimacy'], ['other forms of intimacy', 'do not require', 'sexual intercourse'], ['taking it easy on oneself', 'helps approach sex in a', 'positive way'], ['taking it easy on oneself', 'helps approach sex in an', 'enjoyable way'], ['taking it easy on oneself', 'reduces', 'anxiety'], ['taking it easy on oneself', 'improves', 'overall sexual relationship']]"
What are symptoms of mal de debarquement syndrome?,"[['Mal de debarquement syndrome', 'causes', 'rocking sensation'], ['Mal de debarquement syndrome', 'causes', 'swaying sensation'], ['Mal de debarquement syndrome', 'causes', 'bobbing sensation'], ['Mal de debarquement syndrome', 'causes', 'unsteadiness'], ['Mal de debarquement syndrome', 'causes', 'staggering'], ['Mal de debarquement syndrome', 'symptoms include', 'anxiety'], ['Mal de debarquement syndrome', 'symptoms include', 'confusion'], ['Mal de debarquement syndrome', 'symptoms include', 'depression'], ['Mal de debarquement syndrome', 'symptoms include', 'fatigue'], ['Mal de debarquement syndrome', 'symptoms include', 'difficulty concentrating'], ['Mal de debarquement syndrome symptoms', 'alleviate with', 'car travel'], ['Mal de debarquement syndrome symptoms', 'alleviate with', 'train travel'], ['Mal de debarquement syndrome symptoms', 'return with', 'stillness']]","[['Mal de debarquement syndrome', 'is also known as', 'sickness of disembarkment'], ['Mal de debarquement syndrome', 'is a', 'rare condition'], ['Mal de debarquement syndrome', 'is characterized by', 'persistent rocking sensation'], ['Mal de debarquement syndrome', 'is characterized by', 'persistent swaying sensation'], ['Mal de debarquement syndrome', 'is characterized by', 'persistent bobbing sensation'], ['Mal de debarquement syndrome', 'symptoms include', 'anxiety'], ['Mal de debarquement syndrome', 'symptoms include', 'confusion'], ['Mal de debarquement syndrome', 'symptoms include', 'depression'], ['Mal de debarquement syndrome', 'symptoms include', 'fatigue'], ['Mal de debarquement syndrome', 'symptoms include', 'difficulty focusing'], ['Mal de debarquement syndrome', 'symptoms include', 'unsteadiness'], ['Mal de debarquement syndrome symptoms', 'alleviate with', 'vehicle motion'], ['Mal de debarquement syndrome symptoms', 'return with', 'stillness'], ['Mal de debarquement syndrome onset', 'triggered by', 'closed-in spaces'], ['Mal de debarquement syndrome onset', 'triggered by', 'fast movement'], ['Mal de debarquement syndrome onset', 'triggered by', 'flickering lights'], ['Mal de debarquement syndrome onset', 'triggered by', 'stress'], ['Mal de debarquement syndrome onset', 'triggered by', 'tiredness'], ['Mal de debarquement syndrome onset', 'triggered by', 'intense visual activity'], ['Mal de debarquement syndrome onset', 'associated with', 'cruise ship travel'], ['Mal de debarquement syndrome onset', 'associated with', 'car travel'], ['Mal de debarquement syndrome onset', 'associated with', 'train travel'], ['Mal de debarquement syndrome onset', 'associated with', 'plane travel'], ['Mal de debarquement syndrome diagnosis', 'requires', 'multiple doctor visits'], ['Mal de debarquement syndrome treatment', 'includes', 'brain stimulation therapy'], ['Mal de debarquement syndrome treatment', 'includes', 'medication'], ['Mal de debarquement syndrome treatment', 'includes', 'vestibular rehabilitation'], ['Mal de debarquement syndrome treatment', 'includes', 'self-care'], ['Self-care', 'involves', 'exercise'], ['Self-care', 'involves', 'stress management'], ['Self-care', 'involves', 'rest']]"
How common is Epstein-Barr virus?,"[['Epstein-Barr virus (EBV)', 'is_a', 'virus'], ['Epstein-Barr virus (EBV)', 'is_not', 'well-known'], ['Epstein-Barr virus (EBV)', 'is', 'very common'], ['Most people', 'are_infected_with', 'Epstein-Barr virus (EBV)'], ['Infection with EBV', 'occurs', 'without knowledge']]","[['Epstein-Barr virus (EBV)', 'is', 'common'], ['Most people', 'carry', 'Epstein-Barr virus (EBV)'], ['Carrying EBV', 'occurs', 'without showing symptoms'], ['95% of US adults', 'infected_by_age', '40'], ['Epstein-Barr virus (EBV)', 'causes', 'mononucleosis'], ['Mononucleosis', 'also_known_as', 'kissing disease'], ['Mononucleosis', 'has_symptom_severity', 'mild to severe'], ['After infection', 'Epstein-Barr virus (EBV) stays_in', 'body'], ['Epstein-Barr virus (EBV)', 'can_become', 'active again'], ['Reactivation of EBV', 'makes_person', 'contagious'], ['Prevention of EBV', 'involves', 'avoiding close contact'], ['Avoiding close contact', 'is_with', 'people who have mono'], ['No vaccine', 'available_for', 'Epstein-Barr virus (EBV)'], ['Practicing good hygiene', 'reduces_risk_of', 'EBV infection'], ['Good hygiene', 'includes', 'not sharing personal items'], ['Good hygiene', 'includes', 'not kissing infected person']]"
What causes autonomic neuropathy?,"[['Autonomic neuropathy', 'caused by', 'damage to nerves'], ['damage to nerves', 'controls', 'body functions'], ['body functions', 'include', 'body temperature'], ['body functions', 'include', 'blood pressure'], ['body functions', 'include', 'heart rate'], ['body functions', 'include', 'digestion'], ['body functions', 'include', 'urination'], ['body functions', 'include', 'bowel movements'], ['Autonomic neuropathy', 'most common cause', 'diabetes'], ['Autonomic neuropathy', 'can be caused by', 'abnormal protein buildup'], ['Autonomic neuropathy', 'can be caused by', 'autoimmune diseases'], ['Autonomic neuropathy', 'can be caused by', 'Lyme disease'], ['Autonomic neuropathy', 'can be caused by', 'HIV'], ['Autonomic neuropathy', 'can be caused by', ""Parkinson's disease""], ['Autonomic neuropathy', 'can be caused by', 'inherited diseases'], ['Autonomic neuropathy', 'can be caused by', 'spinal cord injury'], ['Autonomic neuropathy', 'can be caused by', 'surgery'], ['Autonomic neuropathy', 'can be caused by', 'certain medicines'], ['symptoms of Autonomic neuropathy', 'depend on', 'damaged nerves location'], ['symptoms of Autonomic neuropathy', 'depend on', 'organs involved']]","[['Autonomic neuropathy', 'caused by', 'damage to nerves'], ['nerves', 'part of', 'autonomic nervous system'], ['Autonomic neuropathy', 'can result from', 'various diseases'], ['Autonomic neuropathy', 'can result from', 'various treatments'], ['various diseases', 'include', 'diabetes'], ['various diseases', 'include', 'infections'], ['infections', 'include', 'HIV'], ['infections', 'include', 'Lyme disease'], ['various diseases', 'include', 'autoimmune diseases'], ['autoimmune diseases', 'include', 'rheumatoid arthritis'], ['autoimmune diseases', 'include', 'Guillain-Barré syndrome'], ['autoimmune diseases', 'include', 'lupus'], ['autoimmune diseases', 'include', ""Sjogren's syndrome""], ['various diseases', 'include', ""Parkinson's disease""], ['various diseases', 'include', 'inherited diseases'], ['inherited diseases', 'include', 'Riley-Day syndrome'], ['various diseases', 'include', 'spinal cord injury'], ['various treatments', 'include', 'surgery'], ['various treatments', 'include', 'medicines'], ['medicines', 'include', 'chemotherapy drugs'], ['chemotherapy drugs', 'used to treat', 'cancer'], ['various treatments', 'include', 'chemicals'], ['chemicals', 'include', 'acrylamide'], ['chemicals', 'include', 'heavy metals'], ['symptoms of Autonomic neuropathy', 'depend on', 'nerve damage location'], ['symptoms of Autonomic neuropathy', 'depend on', 'nerve damage extent'], ['diagnosis of Autonomic neuropathy', 'performed by', 'doctor'], ['diagnosis of Autonomic neuropathy', 'involves', 'symptoms'], ['diagnosis of Autonomic neuropathy', 'involves', 'physical exam'], ['diagnosis of Autonomic neuropathy', 'involves', 'tests'], ['tests for Autonomic neuropathy', 'include', 'tilt-table test'], ['tests for Autonomic neuropathy', 'include', 'quantitative sudomotor axon reflex test'], ['tests for Autonomic neuropathy', 'include', 'urodynamic tests'], ['tests for Autonomic neuropathy', 'include', 'ultrasound'], ['tests for Autonomic neuropathy', 'include', 'X-rays'], ['treatment for Autonomic neuropathy', 'depends on', 'cause']]"
What causes high total bilirubin?,"[['High total bilirubin', 'caused by', 'anemia'], ['High total bilirubin', 'caused by', 'cirrhosis'], ['High total bilirubin', 'caused by', 'reaction to blood transfusion'], ['High total bilirubin', 'caused by', 'Gilbert syndrome'], ['High total bilirubin', 'caused by', 'viral hepatitis'], ['High total bilirubin', 'caused by', 'reaction to drugs'], ['High total bilirubin', 'caused by', 'alcoholic liver disease'], ['High total bilirubin', 'caused by', 'gallstones'], ['High total bilirubin', 'caused by', 'strenuous exercise']]","[['High total bilirubin', 'caused by', 'anemia'], ['High total bilirubin', 'caused by', 'cirrhosis'], ['High total bilirubin', 'caused by', 'reaction to drugs'], ['High total bilirubin', 'caused by', 'viral hepatitis'], ['High total bilirubin', 'caused by', 'alcoholic liver disease'], ['High total bilirubin', 'caused by', 'gallstones'], ['High total bilirubin', 'caused by', 'strenuous exercise'], ['High total bilirubin', 'caused by', 'Gilbert syndrome'], ['Gilbert syndrome', 'is a type of', 'inherited condition'], ['Bilirubin', 'is a', 'pigment'], ['Bilirubin', 'occurs when', 'red blood cells break down'], ['Bilirubin levels', 'maintained by', 'liver'], ['liver', 'converts', 'Bilirubin'], ['converted Bilirubin', 'excreted through', 'bile'], ['liver dysfunction', 'causes', 'Bilirubin levels build up in blood'], ['Bilirubin levels build up in blood', 'leads to', 'jaundice'], ['Bilirubin levels build up in blood', 'leads to', 'other symptoms'], ['medications', 'affect', ""liver's ability to process Bilirubin""], ['heavy drinking', 'affects', ""liver's ability to process Bilirubin""], ['high bilirubin levels in newborns', 'may be a sign of', 'underlying conditions'], ['high bilirubin levels in newborns', 'characteristic', 'not level out in 2 weeks']]"
Does not exercising make constipation worse?,"[['Not exercising', 'leads to', 'Constipation'], ['Not exercising', 'causes', 'Hard, dry stools'], ['Hard, dry stools', 'are a symptom of', 'Constipation'], ['Regular exercise', 'prevents', 'Constipation']]","[['Not exercising', 'worsens', 'Constipation'], ['Not exercising', 'slows down', 'Food passage through large intestine'], ['Slowing food passage through large intestine', 'contributes to', 'Root cause of constipation'], ['Regular exercise', 'benefits', 'Healthy digestive system'], ['Regular exercise', 'promotes', 'Regular bowel movements']]"
What health conditions are linked to panic attacks?,"[['Allergic reactions', 'linked to', 'Panic attack'], ['Heart and lung diseases', 'linked to', 'Panic attack'], ['Low blood sugar', 'linked to', 'Panic attack'], ['Asthma', 'linked to', 'Panic attack'], ['Overactive thyroid', 'linked to', 'Panic attack']]","[['Panic attack', 'can be mistaken for', 'Health conditions'], ['Mistaken identity of Panic attack', 'due to', 'similarity of symptoms'], ['Panic attack', 'rarely lasts over', 'one hour'], ['Prolonged panic attack', 'caused by', 'Waves of panic attacks'], ['Prolonged panic attack', 'caused by', 'Aftereffects of a single panic attack'], ['Prolonged panic attack', 'caused by', 'Another health condition'], ['Another health condition', 'includes', 'Generalized anxiety disorder'], ['Another health condition', 'includes', 'Allergic reactions'], ['Another health condition', 'includes', 'Heart and lung diseases'], ['Another health condition', 'includes', 'Conditions that trigger panic attacks'], ['Conditions that trigger panic attacks', 'affect', 'individuals prone to panic attacks'], ['Healthcare professional', 'provides', 'accurate diagnosis'], ['Healthcare professional', 'provides', 'treatment'], ['Consultation with healthcare professional', 'for', 'Prolonged panic attack']]"
What causes high-output heart failure?,"[['High-output heart failure', 'is caused by', 'Obesity'], ['High-output heart failure', 'is caused by', 'Liver disease'], ['High-output heart failure', 'is caused by', 'Anemia'], ['High-output heart failure', 'is caused by', 'Hyperthyroidism'], ['High-output heart failure', 'is caused by', 'Pregnancy'], ['High-output heart failure', 'is caused by', 'Lung disease'], ['High-output heart failure', 'is caused by', 'Septic shock'], ['High-output heart failure', 'is caused by', ""Paget's disease""], ['High-output heart failure', 'is caused by', 'Arteriovenous fistula'], ['High-output heart failure', 'is caused by', 'Beriberi heart disease'], ['Obesity', 'leads to', 'increased blood demand'], ['Liver disease', 'leads to', 'increased blood demand'], ['Anemia', 'leads to', 'increased blood demand'], ['Hyperthyroidism', 'leads to', 'increased blood demand'], ['Pregnancy', 'leads to', 'increased blood demand'], ['Lung disease', 'leads to', 'increased blood demand'], ['Septic shock', 'leads to', 'increased blood demand'], [""Paget's disease"", 'leads to', 'increased blood demand'], ['Arteriovenous fistula', 'leads to', 'increased blood demand'], ['Beriberi heart disease', 'leads to', 'increased blood demand'], ['increased blood demand', 'causes', 'High-output heart failure']]","[['High-output heart failure', 'is a', 'rare condition'], ['High-output heart failure', 'characterized by', 'heart pumping normal or increased blood volume'], ['High-output heart failure', 'results in', 'body receiving insufficient blood for proper function'], ['High-output heart failure', 'has cause', 'Obesity'], ['High-output heart failure', 'has cause', 'Liver disease'], ['High-output heart failure', 'has cause', 'Anemia'], ['High-output heart failure', 'has cause', 'Hyperthyroidism'], ['High-output heart failure', 'has cause', 'Pregnancy'], ['High-output heart failure', 'has cause', 'Lung disease'], ['High-output heart failure', 'has cause', 'Septic shock'], ['High-output heart failure', 'has cause', ""Paget's disease""], ['High-output heart failure', 'has cause', 'Arteriovenous fistula'], ['High-output heart failure', 'has cause', 'Beriberi heart disease'], ['Treatment for High-output heart failure', 'focuses on', 'underlying cause of High-output heart failure'], ['Treatment for High-output heart failure', 'may involve', 'low-salt, low-water diet'], ['Treatment for High-output heart failure', 'may involve', 'diuretics'], ['Treatment for High-output heart failure', 'may involve', 'vasoconstrictor adrenergics'], ['traditional heart failure drugs', 'are not helpful for', 'High-output heart failure']]"
What are the side effects of breast cancer treatments?,"[['Breast Cancer Treatment', 'causes', 'Side Effect'], ['Side Effect', 'occurs during', 'treatment'], ['Side Effect', 'occurs after', 'treatment'], ['Some Side Effects', 'resolve', 'on their own'], ['Other Side Effects', 'require', 'treatment'], ['Breast Cancer Treatment', 'can lead to', 'Late Effect'], ['Late Effect', 'includes', 'Menopause Symptoms'], ['Late Effect', 'includes', 'Trouble Getting Pregnant'], ['Late Effect', 'includes', 'Depression'], ['Late Effect', 'includes', 'Sleep Disturbances'], ['Late Effect', 'includes', 'Changes in Breast Appearance'], ['Late Effect', 'includes', 'Trouble Thinking Clearly']]","[['Breast Cancer Treatment', 'can cause', 'Side Effect'], ['Side Effect', 'includes', 'Menopause Symptoms'], ['Menopause Symptoms', 'example', 'Hot Flashes'], ['Side Effect', 'includes', 'Trouble Getting Pregnant'], ['Side Effect', 'includes', 'Depression'], ['Side Effect', 'includes', 'Sleep Disturbances'], ['Side Effect', 'includes', 'Changes in Breast Appearance'], ['Side Effect', 'includes', 'Trouble Thinking Clearly'], ['Trouble Thinking Clearly', 'also known as', 'Chemo Brain'], ['Side Effect', 'is a type of', 'Late Effect'], ['Patient', 'should discuss', 'Risk of Treatment'], ['Patient', 'should discuss', 'Side Effect of Treatment'], ['Discussion with Doctor', 'is crucial for', 'informed decision'], ['Discussion with Doctor', 'involves', 'risks and side effects'], ['Discussion with Doctor', 'about', 'each treatment option']]"
How hard is it to stick to the hCG diet for weight loss?,"[['hCG diet', 'requires', '500 calories a day'], ['hCG diet', 'difficulty to adhere', 'high'], ['500 calories a day', 'is not enough for', 'nutritional needs'], ['500 calories a day', 'can be dangerous without', 'essential nutrients'], ['hCG diet', 'does not provide enough', 'protein'], ['protein', 'necessary for', 'maintaining muscle mass'], ['people considering hCG diet', 'should talk to', 'healthcare provider'], ['healthcare provider', 'ensures safety of', 'hCG diet']]","[['hCG diet', 'difficulty to adhere', 'very high'], ['hCG diet', 'has', 'strict calorie limit'], ['strict calorie limit', 'can cause', 'discomfort for individuals'], ['strict calorie limit', 'can be', 'dangerous for individuals'], ['hCG diet', 'requires consuming', '500 calories per day'], ['hCG diet', 'includes', 'specific food restrictions'], ['meeting nutritional needs', 'is challenging on', 'limited caloric intake'], ['meeting nutritional needs', 'may require', 'supplements'], ['hCG diet', 'should be attempted under', 'close supervision'], ['close supervision', 'provided by', 'healthcare provider']]"
Are cognitive problems caused by multiple sclerosis serious?,"[['Multiple Sclerosis (MS)', 'causes', 'Cognitive problems (MS)'], ['Cognitive problems (MS)', 'severity', 'often mild'], ['Cognitive problems (MS)', 'impact on daily life', 'not significant interference'], ['Severe cognitive problems (MS)', 'prevalence', 'rare']]","[['Cognitive problems (MS)', 'can be', 'concerning'], ['Cognitive problems (MS)', 'severity', 'not always severe'], ['People with MS', 'experience', 'Cognitive problems (MS)'], ['Cognitive problems (MS)', 'prevalence among people with MS', 'about half'], ['Cognitive problems (MS)', 'symptom includes', 'poor focus'], ['Cognitive problems (MS)', 'symptom includes', 'slowed thinking'], ['Cognitive problems (MS)', 'symptom includes', 'fuzzy memory'], ['Cognitive problems (MS)', 'impacts daily life for', '5-10% of individuals'], ['fuzzy thinking', 'clue includes', 'struggling to find words'], ['fuzzy thinking', 'clue includes', 'forgetting tasks'], ['fuzzy thinking', 'clue includes', 'trouble concentrating'], ['Multiple Sclerosis (MS)', 'does not impair', 'intelligence'], ['Multiple Sclerosis (MS)', 'does not impair', 'long-term memory'], ['Cognitive problems (MS)', 'should be discussed with', 'Doctor'], ['Doctor', 'rules out', 'normal aging'], ['Doctor', 'rules out', 'drug-related causes'], ['Doctor', 'provides', 'cognitive testing'], ['Doctor', 'provides', 'treatment options'], ['treatment options', 'includes', 'memory exercises'], ['treatment options', 'includes', 'organizational tools'], ['treatment options', 'includes', 'cognitive rehabilitation'], ['Severe cognitive problems (MS)', 'may require', 'constant care'], ['Severe cognitive problems (MS)', 'may require', 'assisted living arrangements'], ['Research', 'explores', 'medications for MS cognitive symptoms'], ['Research', 'explores', 'treatments for MS cognitive symptoms'], ['medications for MS cognitive symptoms', 'may improve', 'memory'], ['medications for MS cognitive symptoms', 'may improve', 'focus'], ['treatments for MS cognitive symptoms', 'may improve', 'memory'], ['treatments for MS cognitive symptoms', 'may improve', 'focus']]"
How is blood work used to diagnose EPI?,"[['Blood Test', 'used to diagnose', 'EPI'], ['Blood Test', 'checks for', 'anemia'], ['Blood Test', 'checks for', 'low vitamin B12 levels'], ['Blood Test', 'checks for', 'low iron levels'], ['Blood Test', 'checks for', 'low folate levels'], ['Blood Test', 'checks for', 'elevated trypsinogen levels']]","[['Blood Test', 'used to diagnose', 'EPI'], ['Blood Test', 'checks for', 'anemia'], ['Blood Test', 'checks for', 'low vitamin B12 levels'], ['Blood Test', 'checks for', 'low iron levels'], ['Blood Test', 'checks for', 'low folate levels'], ['Blood Test', 'checks for', 'elevated trypsinogen level'], ['Trypsinogen', 'is a', 'pancreatic enzyme'], ['Anemia', 'indicates', 'EPI preventing nutrient absorption'], ['Low vitamin B12 levels', 'indicates', 'EPI preventing nutrient absorption'], ['Low iron levels', 'indicates', 'EPI preventing nutrient absorption'], ['Low folate levels', 'indicates', 'EPI preventing nutrient absorption'], ['Elevated trypsinogen level', 'indicates', 'EPI preventing nutrient absorption'], ['EPI', 'prevents absorption of', 'essential nutrients']]"
