id,paragraph_1,kg_1,paragraph_2,kg_2
84,"The drug Phenacemide increases the neuropsychiatric effects, but decreases the efficacy of Azlocillin and Imipenem. Imipenem, in turn, decreases the efficacy of Methylphenobarbital.","[[""Phenacemide"", ""increases"", ""neuropsychiatric_effects""], [""Phenacemide"", ""decreases_efficacy_of"", ""Azlocillin""], [""Phenacemide"", ""decreases_efficacy_of"", ""Imipenem""], [""Imipenem"", ""decreases_efficacy_of"", ""Methylphenobarbital""]]","Phenacemide increases the neuropsychiatric effects. Additionally, phenacemide decreases the efficacy of both azlocillin and imipenem. Imipenem further decreases the efficacy of methylphenobarbital.","[[""Phenacemide"", ""increases"", ""neuropsychiatric_effects""], [""Phenacemide"", ""decreases_efficacy_of"", ""azlocillin""], [""Phenacemide"", ""decreases_efficacy_of"", ""imipenem""], [""Imipenem"", ""decreases_efficacy_of"", ""methylphenobarbital""]]"
85,"The drug mefruside decreases the efficacy of dezocine but increases the efficacy of glisoxepide and omarigliptin. Omarigliptin, in turn, increases the efficacy of penbutolol and bufuralol while decreasing the efficacy of estrone sulfate. Dezocine decreases the efficacy of magnesium cation, magnesium, and calcium polycarbophil.","[[""mefruside"", ""decreases_efficacy_of"", ""dezocine""], [""mefruside"", ""increases_efficacy_of"", ""glisoxepide""], [""mefruside"", ""increases_efficacy_of"", ""omarigliptin""], [""omarigliptin"", ""increases_efficacy_of"", ""penbutolol""], [""omarigliptin"", ""increases_efficacy_of"", ""bufuralol""], [""omarigliptin"", ""decreases_efficacy_of"", ""estrone_sulfate""], [""dezocine"", ""decreases_efficacy_of"", ""magnesium_cation""], [""dezocine"", ""decreases_efficacy_of"", ""magnesium""], [""dezocine"", ""decreases_efficacy_of"", ""calcium_polycarbophil""]]","The drug mefruside increases the efficacy of glisoxepide. Omarigliptin increases the efficacy of penbutolol and bufuralol, and decreases the efficacy of estrone sulfate. Dezocine decreases the efficacy of magnesium cation, magnesium, and calcium polycarbophil.","[[""mefruside"", ""increases_efficacy_of"", ""glisoxepide""], [""omarigliptin"", ""increases_efficacy_of"", ""penbutolol""], [""omarigliptin"", ""increases_efficacy_of"", ""bufuralol""], [""omarigliptin"", ""decreases_efficacy_of"", ""estrone_sulfate""], [""dezocine"", ""decreases_efficacy_of"", ""magnesium_cation""], [""dezocine"", ""decreases_efficacy_of"", ""magnesium""], [""dezocine"", ""decreases_efficacy_of"", ""calcium_polycarbophil""]]"
86,"Zuclopenthixol increases the effect of bradycardia. It also decreases the efficacy of tetryzoline and tulobuterol. Baclofen has a side effect of hypogeusia. Levodopa decreases the efficacy of both baclofen and zuclopenthixol. Additionally, levodopa targets DNA polymerase eta.","[[""Zuclopenthixol"", ""increases_effect_of"", ""bradycardia""], [""Zuclopenthixol"", ""decreases_efficacy_of"", ""tetryzoline""], [""Zuclopenthixol"", ""decreases_efficacy_of"", ""tulobuterol""], [""Baclofen"", ""has_side_effect"", ""hypogeusia""], [""Levodopa"", ""decreases_efficacy_of"", ""baclofen""], [""Levodopa"", ""decreases_efficacy_of"", ""zuclopenthixol""], [""Levodopa"", ""targets"", ""DNA_polymerase_eta""]]","The drug zuclopenthixol increases the effect of bradycardia while decreasing the efficacy of tetryzoline and tulobuterol. Baclofen is known to have the side effect of Hypogeusia. Levodopa decreases the efficacy of both baclofen and zuclopenthixol. Additionally, levodopa targets DNA polymerase eta.","[[""Zuclopenthixol"", ""increases_effect_of"", ""bradycardia""], [""Zuclopenthixol"", ""decreases_efficacy_of"", ""tetryzoline""], [""Zuclopenthixol"", ""decreases_efficacy_of"", ""tulobuterol""], [""Baclofen"", ""has_side_effect"", ""Hypogeusia""], [""Levodopa"", ""decreases_efficacy_of"", ""baclofen""], [""Levodopa"", ""decreases_efficacy_of"", ""zuclopenthixol""], [""Levodopa"", ""targets"", ""DNA_polymerase_eta""]]"
87,"Pentoxifylline increases the activity of the vasodilatory activities and has an effect of bleeding. It also decreases the efficacy of quazepam. Ditazole increases the efficacy of pentoxifylline but decreases the efficacy of cefprozil and cefazedone. Cefazedone has the activity of the nephrotoxic activities and decreases the efficacy of darexaban and tocopherylquinone. Cefprozil has the activity of the neuromuscular blocking activities and decreases the efficacy of abciximab, as well as causing the side effect of Erythema multiforme.","[[""Pentoxifylline"", ""increases"", ""vasodilatory_activities""], [""Pentoxifylline"", ""has_effect"", ""bleeding""], [""Pentoxifylline"", ""decreases"", ""quazepam""], [""Ditazole"", ""increases"", ""Pentoxifylline""], [""Ditazole"", ""decreases"", ""cefprozil""], [""Ditazole"", ""decreases"", ""cefazedone""], [""Cefazedone"", ""has_activity"", ""nephrotoxic_activities""], [""Cefazedone"", ""decreases"", ""darexaban""], [""Cefazedone"", ""decreases"", ""tocopherylquinone""], [""Cefprozil"", ""has_activity"", ""neuromuscular_blocking_activities""], [""Cefprozil"", ""decreases"", ""abciximab""], [""Cefprozil"", ""causes"", ""Erythema_multiforme""]]","Pentoxifylline increases the activity of the vasodilatory activities and has an effect on bleeding. It also decreases the efficacy of quazepam. Ditazole enhances the efficacy of pentoxifylline but decreases the efficacy of cefprozil and cefazedone. Cefazedone has the activity of nephrotoxic activities and reduces the efficacy of darexaban and tocopherylquinone. Cefprozil exhibits the neuromuscular blocking activities and decreases the efficacy of abciximab, while also causing the side effect of Erythema multiforme.","[[""Pentoxifylline"", ""increases"", ""vasodilatory_activities""], [""Pentoxifylline"", ""has_effect"", ""bleeding""], [""Pentoxifylline"", ""decreases"", ""quazepam""], [""Ditazole"", ""enhances"", ""Pentoxifylline""], [""Ditazole"", ""decreases"", ""cefprozil""], [""Ditazole"", ""decreases"", ""cefazedone""], [""Cefazedone"", ""has_activity"", ""nephrotoxic_activities""], [""Cefazedone"", ""reduces"", ""darexaban""], [""Cefazedone"", ""reduces"", ""tocopherylquinone""], [""Cefprozil"", ""exhibits"", ""neuromuscular_blocking_activities""], [""Cefprozil"", ""decreases"", ""abciximab""], [""Cefprozil"", ""causes"", ""Erythema_multiforme""]]"
88,"Ardeparin decreases the efficacy of several drugs such as cefpiramide, isepamicin, and damoctocog alfa pegol. Likewise, pegvaliase reduces the efficacy of drugs like peginterferon alfa-2b, pegvisomant, and antihemophilic factor (recombinant). Cefpiramide decreases the efficacy of drotrecogin alfa, antithrombin alfa, and melagatran. Cangrelor decreases the efficacy of prothrombin and ceftobiprole medocaril. Damoctocog alfa pegol decreases the efficacy of cangrelor, desirudin, and pegvaliase. Finally, isepamicin decreases the efficacy of heparin and methacholine while increasing the efficacy of letibotulinumtoxina.","[[""Ardeparin"", ""decreases_efficacy_of"", ""cefpiramide""], [""Ardeparin"", ""decreases_efficacy_of"", ""isepanicin""], [""Ardeparin"", ""decreases_efficacy_of"", ""damoctocog_alfa_pegol""], [""Pegvaliase"", ""decreases_efficacy_of"", ""peginterferon_alfa-2b""], [""Pegvaliase"", ""decreases_efficacy_of"", ""pegvisomant""], [""Pegvaliase"", ""decreases_efficacy_of"", ""antihemophilic_factor_(recombinant)""], [""Cefpiramide"", ""decreases_efficacy_of"", ""drotrecogin_alfa""], [""Cefpiramide"", ""decreases_efficacy_of"", ""antithrombin_alfa""], [""Cefpiramide"", ""decreases_efficacy_of"", ""melagatran""], [""Cangrelor"", ""decreases_efficacy_of"", ""prothrombin""], [""Cangrelor"", ""decreases_efficacy_of"", ""ceftobiprole_medocaril""], [""Damoctocog_alfa_pegol"", ""decreases_efficacy_of"", ""cangrelor""], [""Damoctocog_alfa_pegol"", ""decreases_efficacy_of"", ""desirudin""], [""Damoctocog_alfa_pegol"", ""decreases_efficacy_of"", ""pegvaliase""], [""Isepanicin"", ""decreases_efficacy_of"", ""heparin""], [""Isepanicin"", ""decreases_efficacy_of"", ""methacholine""], [""Isepanicin"", ""increases_efficacy_of"", ""letibotulinumtoxina""]]","The drug cefpiramide decreases the efficacy of both drotrecogin alfa and melagatran. Additionally, damoctocog alfa pegol decreases the efficacy of cangrelor and desirudin.","[[""Cefpiramide"", ""decreases_efficacy_of"", ""drotrecogin_alfa""], [""Cefpiramide"", ""decreases_efficacy_of"", ""melagatran""], [""Damoctocog_alfa_pegol"", ""decreases_efficacy_of"", ""cangrelor""], [""Damoctocog_alfa_pegol"", ""decreases_efficacy_of"", ""desirudin""]]"
89,"The multidrug resistance-associated protein 4 is a gene product of ABCC4. Copper oxodotreotide cu-64 decreases the efficacy of octreotide, lanreotide, and somatostatin. Octreotide has side effects such as haemorrhoids, malaise, and absent appetite. Somatostatin receptor type 3 is a gene product of SSTR3. 2,4-thiazolidinedione decreases the efficacy of hydrochlorothiazide and lonapegsomatropin, but increases the efficacy of oxprenolol. Lanreotide decreases the efficacy of pioglitazone and 2,4-thiazolidinedione, and has an indication for Malignant Carcinoid Syndrome. Somatostatin targets somatostatin receptor type 1, somatostatin receptor type 3, and the multidrug resistance-associated protein 4. Somatostatin receptor type 1 is a gene product of SSTR1.","[[""ABCC4"", ""gene_product"", ""multidrug_resistance-associated_protein_4""], [""Copper_oxodotreotide_cu-64"", ""decreases_efficacy_of"", ""octreotide""], [""Copper_oxodotreotide_cu-64"", ""decreases_efficacy_of"", ""lanreotide""], [""Copper_oxodotreotide_cu-64"", ""decreases_efficacy_of"", ""somatostatin""], [""Octreotide"", ""has_side_effect"", ""haemorrhoids""], [""Octreotide"", ""has_side_effect"", ""malaise""], [""Octreotide"", ""has_side_effect"", ""absent_appetite""], [""SSTR3"", ""gene_product"", ""somatostatin_receptor_type_3""], [""2,4-thiazolidinedione"", ""decreases_efficacy_of"", ""hydrochlorothiazide""], [""2,4-thiazolidinedione"", ""decreases_efficacy_of"", ""lonapegsomatropin""], [""2,4-thiazolidinedione"", ""increases_efficacy_of"", ""oxprenolol""], [""Lanreotide"", ""decreases_efficacy_of"", ""pioglitazone""], [""Lanreotide"", ""decreases_efficacy_of"", ""2,4-thiazolidinedione""], [""Lanreotide"", ""indication_for"", ""Malignant_Carcinoid_Syndrome""], [""Somatostatin"", ""targets"", ""somatostatin_receptor_type_1""], [""Somatostatin"", ""targets"", ""somatostatin_receptor_type_3""], [""Somatostatin"", ""targets"", ""multidrug_resistance-associated_protein_4""], [""SSTR1"", ""gene_product"", ""somatostatin_receptor_type_1""]]","The gene Multidrug resistance-associated protein 4 is a gene product of ABCC4. Copper oxodotreotide Cu-64 decreases the efficacy of Octreotide. Octreotide has side effects including Haemorrhoids, Malaise, and Appetite absent. Somatostatin receptor type 3 is a gene product of SSTR3. The drug 2,4-thiazolidinedione decreases the efficacy of Hydrochlorothiazide, increases the efficacy of Oxprenolol, and decreases the efficacy of Lonapegsomatropin. Lanreotide decreases the efficacy of Pioglitazone and is indicated for Malignant Carcinoid Syndrome. Somatostatin targets Somatostatin receptor type 1, Somatostatin receptor type 3, and Multidrug resistance-associated protein 4. Somatostatin receptor type 1 is a gene product of SSTR1.","[[""ABCC4"", ""gene_product"", ""Multidrug_resistance-associated_protein_4""], [""Copper_oxodotreotide_Cu-64"", ""decreases_efficacy_of"", ""Octreotide""], [""Octreotide"", ""has_side_effect"", ""Haemorrhoids""], [""Octreotide"", ""has_side_effect"", ""Malaise""], [""Octreotide"", ""has_side_effect"", ""Appetite_absent""], [""SSTR3"", ""gene_product"", ""Somatostatin_receptor_type_3""], [""2,4-thiazolidinedione"", ""decreases_efficacy_of"", ""Hydrochlorothiazide""], [""2,4-thiazolidinedione"", ""increases_efficacy_of"", ""Oxprenolol""], [""2,4-thiazolidinedione"", ""decreases_efficacy_of"", ""Lonapegsomatropin""], [""Lanreotide"", ""decreases_efficacy_of"", ""Pioglitazone""], [""Lanreotide"", ""indication_for"", ""Malignant_Carcinoid_Syndrome""], [""Somatostatin"", ""targets"", ""Somatostatin_receptor_type_1""], [""Somatostatin"", ""targets"", ""Somatostatin_receptor_type_3""], [""Somatostatin"", ""targets"", ""Multidrug_resistance-associated_protein_4""], [""SSTR1"", ""gene_product"", ""Somatostatin_receptor_type_1""]]"
90,"The drug mecamylamine decreases the efficacy of dipotassium phosphate, fentiazac, and has side effects including decreased appetite. Similarly, tacrine decreases the efficacy of lamotrigine, escitalopram, and bevonium. Felodipine decreases the efficacy of lonazolac and has side effects such as gingival hyperplasia and ankle edema. Trospium decreases the efficacy of tacrine and plecanatide, while also causing the side effect of angiopathy. Lastly, plecanatide decreases the efficacy of mecamylamine, felodipine, and cilnidipine.","[[""mecamylamine"", ""decreases_efficacy_of"", ""dipotassium_phosphate""], [""mecamylamine"", ""decreases_efficacy_of"", ""fentiazac""], [""mecamylamine"", ""has_side_effect"", ""decreased_appetite""], [""tacrine"", ""decreases_efficacy_of"", ""lamotrigine""], [""tacrine"", ""decreases_efficacy_of"", ""escitalopram""], [""tacrine"", ""decreases_efficacy_of"", ""bevonium""], [""felodipine"", ""decreases_efficacy_of"", ""lonazolac""], [""felodipine"", ""has_side_effect"", ""gingival_hyperplasia""], [""felodipine"", ""has_side_effect"", ""ankle_edema""], [""trospium"", ""decreases_efficacy_of"", ""tacrine""], [""trospium"", ""decreases_efficacy_of"", ""plecanatide""], [""trospium"", ""has_side_effect"", ""angiopathy""], [""plecanatide"", ""decreases_efficacy_of"", ""mecamylamine""], [""plecanatide"", ""decreases_efficacy_of"", ""felodipine""], [""plecanatide"", ""decreases_efficacy_of"", ""cilnidipine""]]","The drug mecamylamine decreases the efficacy of dipotassium phosphate, fentiazac and has a side effect of decreased appetite. Tacrine decreases the efficacy of lamotrigine, escitalopram, and bevonium. Felodipine decreases the efficacy of lonazolac and has side effects of gingival hyperplasia and ankle edema. Trospium decreases the efficacy of tacrine and plecanatide and has a side effect of angiopathy. Plecanatide decreases the efficacy of mecamylamine, felodipine, and cilnidipine.","[[""mecamylamine"", ""decreases_efficacy_of"", ""dipotassium_phosphate""], [""mecamylamine"", ""decreases_efficacy_of"", ""fentiazac""], [""mecamylamine"", ""has_side_effect"", ""decreased_appetite""], [""tacrine"", ""decreases_efficacy_of"", ""lamotrigine""], [""tacrine"", ""decreases_efficacy_of"", ""escitalopram""], [""tacrine"", ""decreases_efficacy_of"", ""bevonium""], [""felodipine"", ""decreases_efficacy_of"", ""lonazolac""], [""felodipine"", ""has_side_effect"", ""gingival_hyperplasia""], [""felodipine"", ""has_side_effect"", ""ankle_edema""], [""trospium"", ""decreases_efficacy_of"", ""tacrine""], [""trospium"", ""decreases_efficacy_of"", ""plecanatide""], [""trospium"", ""has_side_effect"", ""angiopathy""], [""plecanatide"", ""decreases_efficacy_of"", ""mecamylamine""], [""plecanatide"", ""decreases_efficacy_of"", ""felodipine""], [""plecanatide"", ""decreases_efficacy_of"", ""cilnidipine""]]"
91,"The drug bisoprolol increases the efficacy of several medications including gliquidone, dotarizine, and albiglutide. Trimebutine also enhances the efficacy of bisoprolol but decreases the efficacy of clopidogrel and rivastigmine. On the other hand, rivastigmine reduces the efficacy of cyproheptadine and mivacurium, while causing the side effect of large intestine polyp. Clopidogrel affects WD repeat domain 24 and coagulation factor II thrombin receptor while leading to the side effect of upper abdominal pain. Gliquidone boosts the efficacy of methazolamide, ethyl biscoumacetate, and sarafloxacin.","[[""bisoprolol"", ""increases_efficacy_of"", ""gliquidone""], [""bisoprolol"", ""increases_efficacy_of"", ""dotarizine""], [""bisoprolol"", ""increases_efficacy_of"", ""albiglutide""], [""trimebutine"", ""increases_efficacy_of"", ""bisoprolol""], [""trimebutine"", ""decreases_efficacy_of"", ""clopidogrel""], [""trimebutine"", ""decreases_efficacy_of"", ""rivastigmine""], [""rivastigmine"", ""decreases_efficacy_of"", ""cyproheptadine""], [""rivastigmine"", ""decreases_efficacy_of"", ""mivacurium""], [""rivastigmine"", ""causes_side_effect"", ""large_intestine_polyp""], [""clopidogrel"", ""affects"", ""WD_repeat_domain_24""], [""clopidogrel"", ""affects"", ""coagulation_factor_II_thrombin_receptor""], [""clopidogrel"", ""causes_side_effect"", ""upper_abdominal_pain""], [""gliquidone"", ""increases_efficacy_of"", ""methazolamide""], [""gliquidone"", ""increases_efficacy_of"", ""ethyl_biscoumacetate""], [""gliquidone"", ""increases_efficacy_of"", ""sarafloxacin""]]","Bisoprolol increases the efficacy of three drugs: Gliquidone, Dotarizine, and Albiglutide. Rivastigmine decreases the efficacy of Cyproheptadine and Mivacurium, while also causing a side effect of Large intestine polyp. Trimebutine increases the efficacy of Bisoprolol but decreases the efficacy of Clopidogrel and Rivastigmine. Clopidogrel affects WD repeat domain 24 and Coagulation factor II thrombin receptor, and has a side effect of Upper abdominal pain. Gliquidone increases the efficacy of Methazolamide, Ethyl biscoumacetate, and Sarafloxacin.","[[""bisoprolol"", ""increases_efficacy_of"", ""Gliquidone""], [""bisoprolol"", ""increases_efficacy_of"", ""Dotarizine""], [""bisoprolol"", ""increases_efficacy_of"", ""Albiglutide""], [""rivastigmine"", ""decreases_efficacy_of"", ""Cyproheptadine""], [""rivastigmine"", ""decreases_efficacy_of"", ""Mivacurium""], [""rivastigmine"", ""causes_side_effect"", ""Large_intestine_polyp""], [""trimebutine"", ""increases_efficacy_of"", ""Bisoprolol""], [""trimebutine"", ""decreases_efficacy_of"", ""Clopidogrel""], [""trimebutine"", ""decreases_efficacy_of"", ""Rivastigmine""], [""clopidogrel"", ""affects"", ""WD_repeat_domain_24""], [""clopidogrel"", ""affects"", ""Coagulation_factor_II_thrombin_receptor""], [""clopidogrel"", ""causes_side_effect"", ""Upper_abdominal_pain""], [""Gliquidone"", ""increases_efficacy_of"", ""Methazolamide""], [""Gliquidone"", ""increases_efficacy_of"", ""Ethyl_biscoumacetate""], [""Gliquidone"", ""increases_efficacy_of"", ""Sarafloxacin""]]"
92,"Interferon alfa-n1 increases the effect of neutropenia, but decreases the efficacy of pertussis vaccine and allogeneic processed thymus tissue. Allogeneic processed thymus tissue then decreases the efficacy of vincristine.","[[""Interferon_alfa-n1"", ""increases"", ""neutropenia""], [""Interferon_alfa-n1"", ""decreases"", ""pertussis_vaccine""], [""Interferon_alfa-n1"", ""decreases"", ""allogeneic_processed_thymus_tissue""], [""allogeneic_processed_thymus_tissue"", ""decreases"", ""vincristine""]]","Interferon alfa-n1 decreases the efficacy of the pertussis vaccine and allogeneic processed thymus tissue. It also decreases the effect of neutropenia. Allogeneic processed thymus tissue, in turn, decreases the efficacy of vincristine.","[[""Interferon_alfa-n1"", ""decreases"", ""pertussis_vaccine""], [""Interferon_alfa-n1"", ""decreases"", ""allogeneic_processed_thymus_tissue""], [""Interferon_alfa-n1"", ""decreases"", ""neutropenia""], [""allogeneic_processed_thymus_tissue"", ""decreases"", ""vincristine""]]"
93,"The drug lornoxicam decreases the efficacy of multiple medications including doxazosin, debrisoquine, and cicletanine. Debrisoquine, in turn, decreases the efficacy of mesalazine, etofenamate, and imidazole salicylate. Imidazole salicylate further decreases the efficacy of bendroflumethiazide, ambrisentan, and tafluprost. Doxazosin decreases the efficacy of tiaprofenic acid and sc-236, while also causing the side effect of nail disorder. Cicletanine decreases the efficacy of sufentanil, tolfenamic acid, and nifenazone. Etofenamate increases the efficacy of haloperidol but decreases the efficacy of clofibrate and estrone sulfate.","[[""lornoxicam"", ""decreases_efficacy_of"", ""doxazosin""], [""lornoxicam"", ""decreases_efficacy_of"", ""debrisoquine""], [""lornoxicam"", ""decreases_efficacy_of"", ""cicletanine""], [""debrisoquine"", ""decreases_efficacy_of"", ""mesalazine""], [""debrisoquine"", ""decreases_efficacy_of"", ""etofenamate""], [""debrisoquine"", ""decreases_efficacy_of"", ""imidazole_salicylate""], [""imidazole_salicylate"", ""decreases_efficacy_of"", ""bendroflumethiazide""], [""imidazole_salicylate"", ""decreases_efficacy_of"", ""ambrisentan""], [""imidazole_salicylate"", ""decreases_efficacy_of"", ""tafluprost""], [""doxazosin"", ""decreases_efficacy_of"", ""tiaprofenic_acid""], [""doxazosin"", ""decreases_efficacy_of"", ""sc-236""], [""doxazosin"", ""causes_side_effect"", ""nail_disorder""], [""cicletanine"", ""decreases_efficacy_of"", ""sufentanil""], [""cicletanine"", ""decreases_efficacy_of"", ""tolfenamic_acid""], [""cicletanine"", ""decreases_efficacy_of"", ""nifenazone""], [""etofenamate"", ""increases_efficacy_of"", ""haloperidol""], [""etofenamate"", ""decreases_efficacy_of"", ""clofibrate""], [""etofenamate"", ""decreases_efficacy_of"", ""estrone_sulfate""]]","The drug lornoxicam decreases the efficacy of several other drugs including doxazosin, debrisoquine, and cicletanine. Debrisoquine in turn decreases the efficacy of mesalazine, etofenamate, and imidazole salicylate. Imidazole salicylate decreases the efficacy of bendroflumethiazide, ambrisentan, and tafluprost. Additionally, doxazosin decreases the efficacy of tiaprofenic acid and sc-236, while also causing the side effect of nail disorder. Cicletanine decreases the efficacy of sufentanil, tolfenamic acid, and nifenazone. Furthermore, etofenamate increases the efficacy of haloperidol, but decreases the efficacy of clofibrate and estrone sulfate.","[[""lornoxicam"", ""decreases_efficacy_of"", ""doxazosin""], [""lornoxicam"", ""decreases_efficacy_of"", ""debrisoquine""], [""lornoxicam"", ""decreases_efficacy_of"", ""cicletanine""], [""debrisoquine"", ""decreases_efficacy_of"", ""mesalazine""], [""debrisoquine"", ""decreases_efficacy_of"", ""etofenamate""], [""debrisoquine"", ""decreases_efficacy_of"", ""imidazole_salicylate""], [""imidazole_salicylate"", ""decreases_efficacy_of"", ""bendroflumethiazide""], [""imidazole_salicylate"", ""decreases_efficacy_of"", ""ambrisentan""], [""imidazole_salicylate"", ""decreases_efficacy_of"", ""tafluprost""], [""doxazosin"", ""decreases_efficacy_of"", ""tiaprofenic_acid""], [""doxazosin"", ""decreases_efficacy_of"", ""sc-236""], [""doxazosin"", ""causes_side_effect"", ""nail_disorder""], [""cicletanine"", ""decreases_efficacy_of"", ""sufentanil""], [""cicletanine"", ""decreases_efficacy_of"", ""tolfenamic_acid""], [""cicletanine"", ""decreases_efficacy_of"", ""nifenazone""], [""etofenamate"", ""increases_efficacy_of"", ""haloperidol""], [""etofenamate"", ""decreases_efficacy_of"", ""clofibrate""], [""etofenamate"", ""decreases_efficacy_of"", ""estrone_sulfate""]]"
94,"Lactulose has an indication for neuropsychiatric syndrome and a side effect of gastrointestinal pain. Estetrol is known to decrease the efficacy of tulathromycin a, pirlimycin, and troleandomycin. Additionally, epofolate decreases the efficacy of lactulose, estetrol, and the vibrio cholerae cvd 103-hgr strain live antigen, while the vibrio cholerae cvd 103-hgr strain live antigen decreases the efficacy of remdesivir.","[[""Lactulose"", ""indication_for"", ""neuropsychiatric_syndrome""], [""Lactulose"", ""side_effect"", ""gastrointestinal_pain""], [""Estetrol"", ""decreases_efficacy_of"", ""tulathromycin_a""], [""Estetrol"", ""decreases_efficacy_of"", ""pirlimycin""], [""Estetrol"", ""decreases_efficacy_of"", ""troleandomycin""], [""Epofolate"", ""decreases_efficacy_of"", ""lactulose""], [""Epofolate"", ""decreases_efficacy_of"", ""estetrol""], [""Epofolate"", ""decreases_efficacy_of"", ""vibrio_cholerae_cvd_103-hgr_strain_live_antigen""], [""Vibrio_cholerae_cvd_103-hgr_strain_live_antigen"", ""decreases_efficacy_of"", ""remdesivir""]]","The drug lactulose has indications for neuropsychiatric syndrome and side effects including gastrointestinal pain. Estetrol decreases the efficacy of tulathromycin a, pirlimycin, and troleandomycin. Additionally, vibrio cholerae cvd 103-hgr strain live antigen decreases the efficacy of remdesivir, while epofolate decreases the efficacy of vibrio cholerae cvd 103-hgr strain live antigen.","[[""Lactulose"", ""indication_for"", ""neuropsychiatric_syndrome""], [""Lactulose"", ""side_effect"", ""gastrointestinal_pain""], [""Estetrol"", ""decreases_efficacy_of"", ""tulathromycin_a""], [""Estetrol"", ""decreases_efficacy_of"", ""pirlimycin""], [""Estetrol"", ""decreases_efficacy_of"", ""troleandomycin""], [""Vibrio_cholerae_cvd_103-hgr_strain_live_antigen"", ""decreases_efficacy_of"", ""remdesivir""], [""Epofolate"", ""decreases_efficacy_of"", ""vibrio_cholerae_cvd_103-hgr_strain_live_antigen""]]"
95,"The drug procaine increases the effect of seizures but decreases the efficacy of triamcinolone and cortisone acetate. Pertussis vaccine decreases the efficacy of chlorambucil, methimazole, and fingolimod. Fluticasone furoate decreases the efficacy of procaine, rabies virus inactivated antigen, and pertussis vaccine. Rabies virus inactivated antigen decreases the efficacy of mycophenolate mofetil and belumosudil.","[[""procaine"", ""increases_effect_of"", ""seizures""], [""procaine"", ""decreases_efficacy_of"", ""triamcinolone""], [""procaine"", ""decreases_efficacy_of"", ""cortisone_acetate""], [""pertussis_vaccine"", ""decreases_efficacy_of"", ""chlorambucil""], [""pertussis_vaccine"", ""decreases_efficacy_of"", ""methimazole""], [""pertussis_vaccine"", ""decreases_efficacy_of"", ""fingolimod""], [""fluticasone_furoate"", ""decreases_efficacy_of"", ""procaine""], [""fluticasone_furoate"", ""decreases_efficacy_of"", ""rabies_virus_inactivated_antigen""], [""fluticasone_furoate"", ""decreases_efficacy_of"", ""pertussis_vaccine""], [""rabies_virus_inactivated_antigen"", ""decreases_efficacy_of"", ""mycophenolate_mofetil""], [""rabies_virus_inactivated_antigen"", ""decreases_efficacy_of"", ""belumosudil""]]","The drug procaine increases the effect of seizures and decreases the efficacy of triamcinolone and cortisone acetate. The pertussis vaccine decreases the efficacy of chlorambucil, methimazole, and fingolimod. Fluticasone furoate decreases the efficacy of procaine, rabies virus inactivated antigen, and the pertussis vaccine. The rabies virus inactivated antigen decreases the efficacy of mycophenolate mofetil and belumosudil.","[[""procaine"", ""increases_effect_of"", ""seizures""], [""procaine"", ""decreases_efficacy_of"", ""triamcinolone""], [""procaine"", ""decreases_efficacy_of"", ""cortisone_acetate""], [""pertussis_vaccine"", ""decreases_efficacy_of"", ""chlorambucil""], [""pertussis_vaccine"", ""decreases_efficacy_of"", ""methimazole""], [""pertussis_vaccine"", ""decreases_efficacy_of"", ""fingolimod""], [""fluticasone_furoate"", ""decreases_efficacy_of"", ""procaine""], [""fluticasone_furoate"", ""decreases_efficacy_of"", ""rabies_virus_inactivated_antigen""], [""fluticasone_furoate"", ""decreases_efficacy_of"", ""pertussis_vaccine""], [""rabies_virus_inactivated_antigen"", ""decreases_efficacy_of"", ""mycophenolate_mofetil""], [""rabies_virus_inactivated_antigen"", ""decreases_efficacy_of"", ""belumosudil""]]"
